FIGHT_DATE,OPPONENT_NAME,ROUND_TIME,TYPE,ROUND
3/6/1985,Hector Mercedes,1:47,TKO,1
4/10/1985,Trent Singleton,0:52,TKO,1
5/23/1985,Don Halpin,1:04,KO,4
6/20/1985,Ricardo Spain,0:39,TKO,1
7/11/1985,John Alderson,3:00,RTD,2
7/19/1985,Larry Sims,2:04,KO,3
8/15/1985,Lorenzo Canady,1:05,KO,1
9/5/1985,Michael Johnson,0:39,KO,1
10/9/1985,Donnie Long,1:28,TKO,1
10/25/1985,Robert Colay,0:37,KO,1
11/1/1985,Sterling Benjamin,0:54,TKO,1
11/13/1985,Eddie Richardson,1:17,KO,1
11/22/1985,Conroy Nelson,0:30,TKO,2
12/6/1985,Sammy Scaff,1:19,TKO,1
12/27/1985,Mark Young,0:50,TKO,1
1/11/1986,David Jaco,2:16,TKO,1
1/24/1986,Mike Jameson,0:46,TKO,5
2/16/1986,Jesse Ferguson,1:19,TKO,6
3/10/1986,Steve Zouski,2:39,KO,3
6/13/1986,Reggie Gross,2:36,TKO,1
6/28/1986,William Hosea,2:03,KO,1
7/11/1986,Lorenzo Boyd,1:43,KO,2
7/26/1986,Marvis Frazier,0:30,TKO,1
8/17/1986,Jose Ribalta,1:37,TKO,10
9/6/1986,Alfonzo Ratliff,1:41,TKO,2
11/22/1986,Trevor Berbick,2:35,TKO,2
5/30/1987,Pinklon Thomas,2:00,TKO,6
10/16/1987,Tyrell Biggs,2:59,TKO,7
1/22/1988,Larry Holmes,2:55,TKO,4
3/21/1988,Tony Tubbs,2:54,TKO,2
6/27/1988,Michael Spinks,1:31,KO,1
2/25/1989,Frank Bruno,2:55,TKO,5
7/21/1989,Carl Williams,1:33,TKO,1
6/16/1990,Henry Tillman,2:47,KO,1
12/8/1990,Alex Stewart,2:27,TKO,1
3/18/1991,Donovan Ruddock,2:22,TKO,7
12/16/1995,"Buster Mathis, Jr.",2:32,KO,3
3/16/1996,Frank Bruno,0:50,TKO,3
9/7/1996,Bruce Seldon,1:49,TKO,1
1/16/1999,Francois Botha,2:59,KO,5
1/29/2000,Julius Francis,1:03,TKO,2
6/24/2000,Lou Savarese,0:38,TKO,1
10/13/2001,Brian Nielsen,3:00,RTD,6
2/22/2003,Clifford Etienne,0:49,KO,1
